source_ENSEMBL target_ENSEMBL interaction
ENSG00000169083 ENSG00000146674 1
ENSG00000169083 ENSG00000099977 1
ENSG00000169083 ENSG00000080503 1
ENSG00000169083 ENSG00000120549 -1
ENSG00000169083 ENSG00000146278 1
ENSG00000169083 ENSG00000068120 1
ENSG00000169083 ENSG00000185686 1
ENSG00000169083 ENSG00000084623 1
ENSG00000169083 ENSG00000185442 1
ENSG00000169083 ENSG00000184012 1
ENSG00000169083 ENSG00000113048 1
ENSG00000169083 ENSG00000157184 1
ENSG00000169083 ENSG00000113594 1
ENSG00000169083 ENSG00000169814 1
ENSG00000169083 ENSG00000157110 1
ENSG00000169083 ENSG00000125686 1
ENSG00000169083 ENSG00000112640 1
ENSG00000169083 ENSG00000163536 1
ENSG00000169083 ENSG00000164442 1
ENSG00000169083 ENSG00000068079 1
ENSG00000169083 ENSG00000142515 1
ENSG00000169083 ENSG00000107140 1
ENSG00000169083 ENSG00000104419 1
ENSG00000169083 ENSG00000140263 1
ENSG00000169083 ENSG00000065361 1
ENSG00000169083 ENSG00000058668 1
ENSG00000169083 ENSG00000124766 1
ENSG00000169083 ENSG00000094804 1
ENSG00000169083 LOC440157 1
ENSG00000169083 ENSG00000114315 1
ENSG00000169083 ENSG00000184678 1
ENSG00000169083 ENSG00000104447 1
ENSG00000169083 ENSG00000149308 1
ENSG00000169083 ENSG00000102172 1
ENSG00000169083 ENSG00000167749 1
ENSG00000169083 ENSG00000096060 1
ENSG00000169083 ENSG00000140396 -1
ENSG00000169083 ENSG00000125148 1
ENSG00000169083 ENSG00000096088 1
ENSG00000169083 ENSG00000145192 1
ENSG00000169083 ENSG00000114650 1
ENSG00000169083 ENSG00000127445 1
ENSG00000169083 ENSG00000169410 1
ENSG00000169083 ENSG00000132437 1
ENSG00000169083 ENSG00000109332 1
ENSG00000169083 ENSG00000101558 1
ENSG00000169083 ENSG00000159399 1
ENSG00000169083 ENSG00000126351 1
ENSG00000169083 ENSG00000185499 -1
ENSG00000169083 ENSG00000163286 1
ENSG00000169083 ENSG00000136997 1
ENSG00000169083 ENSG00000167034 1
ENSG00000169083 ENSG00000143156 1
ENSG00000169083 ENSG00000064655 1
ENSG00000169083 ENSG00000141279 1
ENSG00000169083 ENSG00000111271 1
ENSG00000169083 ENSG00000175334 1
ENSG00000169083 ENSG00000108528 1
ENSG00000169083 ENSG00000116667 1
ENSG00000169083 ENSG00000198648 1
ENSG00000169083 ENSG00000106070 1
ENSG00000169083 ENSG00000067182 1
ENSG00000169083 ENSG00000138764 1
ENSG00000169083 ENSG00000135486 1
