source_ENSEMBL target_ENSEMBL interaction
ENSG00000275700 ENSG00000087088 -1
ENSG00000275700 ENSG00000136997 1
ENSG00000097007 ENSG00000113916 -1
ENSG00000097007 ENSG00000184371 1
ENSG00000097007 ENSG00000118689 1
ENSG00000097007 ENSG00000118971 1
ENSG00000097007 ENSG00000124762 1
ENSG00000097007 ENSG00000137193 1
ENSG00000097007 ENSG00000171791 -1
ENSG00000097007 ENSG00000087088 1
ENSG00000097007 ENSG00000141510 1
AES ENSG00000115963 1
AES ENSG00000138795 1
ENSG00000106546 ENSG00000241635 1
ENSG00000106546 ENSG00000107159 -1
ENSG00000106546 ENSG00000132646 1
ENSG00000106546 ENSG00000138764 1
ENSG00000106546 ENSG00000063438 1
ENSG00000106546 ENSG00000133119 1
ENSG00000106546 ENSG00000136244 1
ENSG00000106546 ENSG00000138061 1
ENSG00000110711 ENSG00000106546 1
ENSG00000110711 ENSG00000048649 -1
ENSG00000110711 ENSG00000160182 -1
ENSG00000110711 ENSG00000196208 -1
ENSG00000110711 ENSG00000077150 -1
ENSG00000148677 ENSG00000175206 -1
ENSG00000166313 ENSG00000163655 -1
ENSG00000134982 ENSG00000135409 -1
ENSG00000134982 ENSG00000073756 -1
ENSG00000134982 ENSG00000115758 -1
ENSG00000134982 ENSG00000130816 -1
ENSG00000134982 ENSG00000136997 -1
ENSG00000134982 ENSG00000118515 -1
ENSG00000134982 ENSG00000142208 -1
ENSG00000134982 ENSG00000007171 1
ENSG00000100823 ENSG00000173039 1
ENSG00000100823 ENSG00000109320 1
ENSG00000100823 ENSG00000179142 -1
ENSG00000100823 ENSG00000105641 1
ENSG00000100823 ENSG00000177455 1
ENSG00000100823 ENSG00000108691 1
ENSG00000100823 ENSG00000152266 -1
ENSG00000169083 ENSG00000156345 1
ENSG00000169083 ENSG00000100292 1
ENSG00000169083 ENSG00000103197 -1
ENSG00000169083 ENSG00000084093 -1
ENSG00000169083 ENSG00000168036 1
ENSG00000169083 ENSG00000170558 1
ENSG00000169083 ENSG00000165699 -1
ENSG00000169083 SEPT7 -1
ENSG00000169083 ENSG00000140443 1
ENSG00000169083 ENSG00000141736 1
ENSG00000169083 ENSG00000188064 1
ENSG00000169083 ENSG00000006468 1
ENSG00000169083 ENSG00000166483 -1
ENSG00000169083 ENSG00000177606 1
ENSG00000169083 ENSG00000180176 1
ENSG00000169083 ENSG00000179335 -1
ENSG00000169083 ENSG00000146648 1
ENSG00000169083 ENSG00000026025 -1
ENSG00000169083 ENSG00000112715 1
ENSG00000169083 ENSG00000173599 1
ENSG00000169083 ENSG00000039068 -1
ENSG00000169083 ENSG00000163235 1
ENSG00000169083 ENSG00000109320 -1
ENSG00000169083 ENSG00000170498 1
ENSG00000169083 ENSG00000133639 -1
ENSG00000169083 ENSG00000206075 -1
ENSG00000169083 ENSG00000196139 -1
ENSG00000169083 ENSG00000104067 1
ENSG00000169083 ENSG00000172817 -1
ENSG00000169083 ENSG00000213281 -1
ENSG00000169083 ENSG00000185499 -1
ENSG00000169083 ENSG00000284792 1
ENSG00000169083 ENSG00000167034 1
ENSG00000169083 ENSG00000118520 1
ENSG00000169083 ENSG00000100393 1
ENSG00000169083 ENSG00000143632 1
ENSG00000169083 ENSG00000171862 1
ENSG00000169083 ENSG00000094804 1
ENSG00000169083 ENSG00000171428 1
ENSG00000169083 ENSG00000163794 -1
ENSG00000169083 ENSG00000101966 -1
ENSG00000169083 ENSG00000184012 1
ENSG00000169083 ENSG00000065361 1
ENSG00000169083 ENSG00000081181 1
ENSG00000169083 ENSG00000147571 -1
ENSG00000169083 ENSG00000159388 -1
ENSG00000169083 ENSG00000073756 -1
ENSG00000169083 ENSG00000173039 -1
ENSG00000169083 ENSG00000116014 1
ENSG00000117713 IGH 1
ENSG00000049618 IGH 1
ENSG00000116017 ENSG00000140464 1
ENSG00000143437 ENSG00000170345 -1
ENSG00000143437 ENSG00000105173 -1
ENSG00000143437 ENSG00000107159 1
